BJD,mag,mag_err,filter,instrument
2457422.095012434,10.24,0.017,W1,WISE
2457590.1893546437,10.276,0.017,W1,WISE
2457590.320378633,10.239,0.019,W1,WISE
2457590.7134505264,10.241,0.016,W1,WISE
2457590.9100502282,10.242,0.021,W1,WISE
2457591.303122163,10.256,0.018,W1,WISE
2457591.368570434,10.24,0.016,W1,WISE
2457591.4341460513,10.258,0.019,W1,WISE
2457591.565169988,10.259,0.018,W1,WISE
2457591.8270906173,10.262,0.016,W1,WISE
2457785.1195297902,10.25,0.017,W1,WISE
2457785.2504408797,10.234,0.015,W1,WISE
2457785.446934908,10.352,0.015,W1,WISE
2457785.5123904804,10.245,0.018,W1,WISE
2457785.7744672643,10.224,0.016,W1,WISE
2457786.0364166377,10.243,0.017,W1,WISE
2457786.101872138,10.259,0.018,W1,WISE
2457786.2329105395,10.245,0.019,W1,WISE
2457786.363949031,10.319,0.018,W1,WISE
2457786.4948601415,10.317,0.018,W1,WISE
2457786.6258986113,10.249,0.016,W1,WISE
2457951.9046616936,10.246,0.018,W1,WISE
2458149.8545435476,10.251,0.018,W1,WISE
2458149.919998961,10.251,0.018,W1,WISE
2458149.9201263287,10.231,0.019,W1,WISE
2458150.0509098,10.223,0.019,W1,WISE
2458150.0510371206,10.243,0.021,W1,WISE
2458150.116492553,10.244,0.018,W1,WISE
2458150.2474034834,10.239,0.017,W1,WISE
2458150.312858956,10.256,0.02,W1,WISE
2458150.443770486,10.307,0.021,W1,WISE
2458150.509225944,10.194,0.023,W1,WISE
2458150.640136839,10.379,0.017,W1,WISE
2458157.120873262,10.279,0.017,W1,WISE
2458312.1657354496,10.249,0.018,W1,WISE
2458312.296505069,10.379,0.015,W1,WISE
2458516.3769343034,10.233,0.015,W1,WISE
2458516.7695385064,10.254,0.016,W1,WISE
2458516.834993768,10.311,0.015,W1,WISE
2458517.358381612,10.242,0.02,W1,WISE
2458517.4238368957,10.236,0.015,W1,WISE
2458517.750985921,10.244,0.018,W1,WISE
2458679.4774244484,10.274,0.015,W1,WISE
2458881.069670083,10.34,0.016,W1,WISE
2458881.266417949,10.267,0.017,W1,WISE
2458881.789677863,10.234,0.016,W1,WISE
2458881.855133105,10.25,0.016,W1,WISE
2459245.245404208,10.286,0.016,W1,WISE
2459245.76853688,10.216,0.017,W1,WISE
2459246.2262139637,10.234,0.019,W1,WISE
2459414.5537576065,10.261,0.015,W1,WISE
2459612.2764651203,10.213,0.017,W1,WISE
2459612.4725762503,10.26,0.021,W1,WISE
2459612.5377768483,10.301,0.019,W1,WISE
2459613.1257278714,10.223,0.019,W1,WISE
2459977.3185990863,10.237,0.019,W1,WISE
2459977.318726453,10.255,0.019,W1,WISE
2459977.448872973,10.235,0.017,W1,WISE
2460138.121105466,10.278,0.018,W1,WISE
2460138.7047945107,10.25,0.017,W1,WISE
2460139.2235382404,10.22,0.015,W1,WISE
2460340.62409012,10.234,0.017,W1,WISE
2460341.2042730763,10.255,0.017,W1,WISE
2460341.784456395,10.26,0.016,W1,WISE
2460343.847825682,10.272,0.015,W1,WISE
2460344.170136021,10.32,0.017,W1,WISE
2460344.2345724655,10.239,0.016,W1,WISE
2460344.621318996,10.209,0.018,W1,WISE
