BJD,mag,filter,instrument
2460081.853539618,-0.004363361,TESS,TESS
2460081.855854407,-0.006173948,TESS,TESS
2460081.858169196,-0.011920944,TESS,TESS
2460081.860483985,-0.0069608963,TESS,TESS
2460081.862798774,-0.00907769,TESS,TESS
2460081.865113563,-0.0006679114,TESS,TESS
2460081.867428352,-0.00250507,TESS,TESS
2460081.869743141,-0.0059911846,TESS,TESS
2460081.87205793,-0.005757022,TESS,TESS
2460081.874372719,-0.0036966875,TESS,TESS
2460081.876687508,0.0016921246,TESS,TESS
2460081.879002297,-0.008705275,TESS,TESS
2460081.881317086,0.004711098,TESS,TESS
2460081.883631875,-0.0005460566,TESS,TESS
2460081.885946664,0.0018608535,TESS,TESS
2460081.888261453,-0.0025590458,TESS,TESS
2460081.890576242,0.0044669993,TESS,TESS
2460081.8928910308,0.0030584598,TESS,TESS
2460081.89520582,0.0021004116,TESS,TESS
2460081.8975206087,0.012181419,TESS,TESS
2460081.899835398,-0.0067449505,TESS,TESS
2460081.9021501867,0.0039357087,TESS,TESS
2460081.904464976,0.0034884259,TESS,TESS
2460081.9067797647,-8.542336e-06,TESS,TESS
2460081.909094554,0.0056480994,TESS,TESS
2460081.9114093427,0.005615314,TESS,TESS
2460081.913724132,0.003361768,TESS,TESS
2460081.9160389206,0.015460912,TESS,TESS
2460081.91835371,0.009768067,TESS,TESS
2460081.9206684986,0.013609846,TESS,TESS
2460081.922983288,0.0060544284,TESS,TESS
2460081.9252980766,0.0075211427,TESS,TESS
2460081.927612866,0.0073800054,TESS,TESS
2460081.9299276546,0.01933274,TESS,TESS
2460081.932242444,0.015426582,TESS,TESS
2460081.9345572325,0.0102755,TESS,TESS
2460081.9368720218,-0.0002152205,TESS,TESS
2460081.939186811,0.010295818,TESS,TESS
2460081.9415015997,0.010422111,TESS,TESS
2460081.943816389,0.0077040764,TESS,TESS
2460081.9461311777,0.008313967,TESS,TESS
2460081.948445967,0.006028072,TESS,TESS
2460081.9507607557,0.010728071,TESS,TESS
2460081.953075545,0.016245367,TESS,TESS
2460081.9553903337,0.0094162235,TESS,TESS
2460081.957705123,0.004340098,TESS,TESS
2460081.9600199116,0.015498986,TESS,TESS
2460081.962334701,0.011769978,TESS,TESS
2460081.9646494896,0.0062052216,TESS,TESS
2460081.966964279,0.0118807405,TESS,TESS
2460081.9692790676,0.0038445229,TESS,TESS
2460081.971593857,0.011438807,TESS,TESS
2460081.973908646,0.016357638,TESS,TESS
2460081.976223435,0.0073285983,TESS,TESS
2460081.978538224,0.011435012,TESS,TESS
2460081.9808530128,0.0046776254,TESS,TESS
2460081.983167802,0.009705903,TESS,TESS
2460081.9854825907,0.0060055563,TESS,TESS
2460081.98779738,0.0051328116,TESS,TESS
