frequency,period,amplitude,snr,fap
3.04011+/-0.00003,0.328936+/-0.000003,0.56,116.35,7.90e-95
0.89276+/-0.00007,1.120118+/-0.000093,0.53,128.85,8.49e-82
1.91776+/-0.00001,0.521441+/-0.000003,0.55,139.23,4.34e-91
3.04152+/-0.00003,0.328783+/-0.000003,0.16,18.02,1.36e-03
