frequency,period,amplitude,snr,fap
2.35215+/-0.00002,0.425143+/-0.000004,0.72,143.00,1.51e-182
3.50067+/-0.00001,0.285659+/-0.000001,0.81,205.34,1.10e-271
2.92004+/-0.00003,0.342461+/-0.000004,0.13,13.78,1.85e-01
1.44576+/-0.00005,0.691679+/-0.000026,0.11,9.45,1.00e+00
