frequency,period,amplitude,snr,fap
0.03670+/-0.00002,27.246804+/-0.014209,0.20,7475.12,0.00e+00
0.03671+/-0.00000,27.244037+/-0.003675,1.01,1667990.01,nan
0.03671+/-0.00000,27.244195+/-0.003673,1.01,1663040.36,nan
0.03671+/-0.00000,27.244185+/-0.003673,1.01,1663860.66,nan
