frequency,period,amplitude,snr,fap
1.75607+/-0.00004,0.569454+/-0.000014,0.63,131.70,8.06e-128
1.88514+/-0.00002,0.530464+/-0.000006,0.57,103.35,3.86e-100
4.55604+/-0.00001,0.219489+/-0.000001,0.57,143.63,1.85e-99
9.25930+/-0.00008,0.108000+/-0.000001,0.13,15.29,3.07e-01
