frequency,period,amplitude,snr,fap
4.96799+/-0.00003,0.201289+/-0.000001,0.69,95.13,1.77e-164
4.73131+/-0.00001,0.211358+/-0.000001,0.68,95.83,1.50e-156
1.10394+/-0.00002,0.905844+/-0.000012,0.86,373.26,0.00e+00
4.96742+/-0.00002,0.201312+/-0.000001,0.18,24.60,6.48e-05
